incident_no,day,time_on_twitter,projected_start,event_end,full_tweet,category,projected_start_prj,event_end_prj,true_event_start,true_event_end
353,2016/02/01,04:59,04:59,04:59,Update: Traffic lights at Rosmead/Wetton in Kenilworth have been repaired.,,1,,06:59,06:59
354,2016/02/01,05:20,05:20,07:20,Traffic lights at Emms/Govan Mbeki in Nyanga are flashing. The department is currently attending to this.,,1,1,07:20,09:20
355,2016/02/01,05:52,05:52,07:52,Traffic lights at Rosmead/Wetton in Kenilworth are flashing. The department is currently attending to this.,,1,1,07:52,09:52
356,2016/02/01,06:13,06:13,08:13,Traffic lights at Robert Sobukwe/Yellowwood in Bellville are flashing. The department is currently attending to this.,,1,1,08:13,10:13
357,2016/02/01,06:24,06:24,06:24,Update: Traffic lights at Avonwood/Francie Van Zijl in Elsies River have been repaired.,,1,,08:24,08:24
358,2016/02/01,06:26,06:26,06:26,Update: Stationary vehicle on the N2 inbound before M5 has been cleared.,,1,,08:26,08:26
359,2016/02/01,06:32,06:32,08:32,"Stationary vehicle on the N2 inbound before M5. Two lanes obstructed, expect delays.",,1,1,08:32,10:32
360,2016/02/01,06:41,06:41,08:41,Traffic lights at Avonwood/Francie Van Zijl in Elsies River are flashing. The department is currently attending to this.,,1,1,08:41,10:41
361,2016/02/01,07:04,07:04,07:04,Update: Stationary vehicle on the N2 inbound at R300 has been cleared.,,1,,09:04,09:04
362,2016/02/01,07:19,07:19,07:19,Update: Crash on the N1 inbound before Old Oak has been cleared.,,1,,09:19,09:19
363,2016/02/01,07:43,07:43,09:43,"Crash on the N1 inbound before Old Oak. Center lane closed, expect delays.",,1,1,09:43,11:43
364,2016/02/01,07:51,07:51,07:51,Update: Crash on the N2 inbound at Robert Sobukwe has been cleared.,,1,,09:51,09:51
365,2016/02/01,08:27,08:27,10:27,"Stationary vehicle on the N2 inbound at R300. Left lane obstructed, expect delays.",,1,1,10:27,12:27
366,2016/02/01,09:08,09:08,11:08,"Stationary vehicle on the N1 inbound after Durban Road. Centre lane closed, expect delays.",,1,1,11:08,13:08
367,2016/02/01,11:42,11:42,13:42,"Crash on the N2 inbound at Robert Sobukwe. Left lane closed, expect delays.",,1,1,13:42,15:42
368,2016/02/01,12:17,12:17,12:17,Update: Traffic lights at Amandel/Sandalwood in Kuils River have been repaired.,,1,,14:17,14:17
369,2016/02/01,13:34,13:34,15:34,Traffic lights at Highlands/Jakes Gerwel in Mitchells Plain are out. The department is currently attending to this.,,1,1,15:34,17:34
370,2016/02/01,15:22,15:22,17:22,Traffic lights at Valhalla/Angela in Valhalla Park are flashing. The department is currently attending to this.,,1,1,17:22,19:22
371,2016/02/01,15:43,15:43,17:43,Traffic lights at R27/Melkbosstrand in Melkbosstrand are out. The department is currently attending to this.,,1,1,17:43,19:43
372,2016/02/01,16:01,16:01,18:01,Traffic lights at Robert Sobukwe/De La Rey in Belhar are out. The department is currently attending to this.,,1,1,18:01,20:01
373,2016/02/01,16:02,16:02,18:02,Traffic lights at Amandel/Sandalwood in Kuils River are flashing. The department is currently attending to this.,,1,1,18:02,20:02
374,2016/02/02,15:24,15:24,15:24,"Update: Crash on the N2 Outbound after Borcherd's Quarry, Crash scene cleared, normal PM peak traffic.",,1,,17:24,17:24
375,2016/02/02,15:12,15:12,15:12,"Update: Traffic lights at Broadway / Altena, Die Bos have been repaired.",,1,,17:12,17:12
376,2016/02/02,14:56,14:56,14:56,"Update: Traffic lights at Katdoring / Boabab, Eastridge all lights out, vandalism.",,1,,16:56,16:56
377,2016/02/02,14:24,14:24,16:24,"Crash: on the N2 Outbound after Borcherds Quarry, Right lane closed, expect delays and proceed with caution.",,1,1,16:24,18:24
378,2016/02/02,13:32,13:32,15:32,"Traffic lights at Katdoring / Boabab, Eastridge, all lights are out. The department is attending to the matter.",,1,1,15:32,17:32
379,2016/02/02,13:29,13:29,15:29,"Traffic lights at Broadway / Altena, Die Bos are flashing. The department is attending to the matter.",,1,1,15:29,17:29
380,2016/02/02,12:50,12:50,14:50,"Crash on the M5 North after the N2, all lanes open, expect delays and proceed with caution.",,1,1,14:50,16:50
381,2016/02/02,11:46,11:46,11:46,Update: Traffic lights at R27 / Melkbosstrand in Melkbosstrand have been repaired.,,1,,13:46,13:46
382,2016/02/02,10:35,10:35,10:35,Update: Roadworks on N1 outbound after Durban Road has been cleared.,,1,,12:35,12:35
383,2016/02/02,09:45,09:45,11:45,"Roadworks on N1 outbound after Durban Road. Left lane closed, expect delays.",,1,1,11:45,13:45
384,2016/02/02,07:28,07:28,07:28,Update: Traffic lights at Balvenie/Connaught in Parow have been repaired.,,1,,09:28,09:28
385,2016/02/02,07:01,07:01,09:01,"The City will simulate an emergency exercise in Simon?s Town today, 2 February 2016. https://t.co/tfzfAzyhcy",,1,1,09:01,11:01
386,2016/02/02,06:00,06:00,08:00,Traffic lights at Balvenie & Connaught in Parow are out. The department is currently attending to this.,,1,1,08:00,10:00
387,2016/02/03,04:15,04:15,04:15,"Update: Roadworks on the N2 Outbound after Borcherds Quarry has been cleared, proceed with caution.",,1,,06:15,06:15
388,2016/02/03,04:17,04:17,06:17,"Roadworks on the N2, Outbound after Borcherds Quarry, left lane closed, long delays expected, use alternate route and proceed with caution.",,1,1,06:17,08:17
389,2016/02/03,04:18,04:18,04:18,Update: Traffic lights at Old Paarl/Howard in Brackenfell have been repaired.,,1,,06:18,06:18
390,2016/02/03,04:19,04:19,06:19,"Roadworks on N2 outbound after Borcherds Quarry. Left lane closed, expect delays.",,1,1,06:19,08:19
391,2016/02/03,05:43,05:43,05:43,Update: Traffic lights at Govan Mbeki/Strandfontein have been repaired.,,1,,07:43,07:43
392,2016/02/03,05:44,05:44,05:44,Update: Traffic lights at Andries Pretorius/Bright in Somerset West have been repaired.,,1,,07:44,07:44
393,2016/02/03,10:10,10:10,12:10,Traffic lights at Bosmansdam/Montague are out. The department is currently attending to this.,,1,1,12:10,14:10
394,2016/02/03,11:00,11:00,13:00,Traffic lights at Andries Pretorius/Bright in Somerset West are out. The department is currently attending to this.,,1,1,13:00,15:00
395,2016/02/03,12:09,12:09,14:09,Traffic lights at Govan Mbeki/Strandfontein are out. The department is currently attending to this.,,1,1,14:09,16:09
396,2016/02/03,13:38,13:38,15:38,Traffic lights at Old Paarl/Howard in Brackenfell are flashing. The department is currently attending to this.,,1,1,15:38,17:38
397,2016/02/04,04:19,04:19,06:19,N2 inbound road closure after Strand St off-ramp today at 13h00. Traffic to divert onto Strand. Alternative routes M3 to N1 or De Waal Dr.,,1,1,06:19,08:19
398,2016/02/04,04:22,04:22,04:22,Update: Traffic lights at Voortrekker/Koeberg in Maitland have been repaired.,,1,,06:22,06:22
399,2016/02/04,04:36,04:36,04:36,Update: Crash on N2 inbound at Jakes Gerwel has been cleared.,,1,,06:36,06:36
400,2016/02/04,04:37,04:37,06:37,Traffic lights at Voortrekker/Koeberg in Maitland are flashing. The department is currently attending to this.,,1,1,06:37,08:37
401,2016/02/04,04:37,04:37,06:37,Update: Crash on N2 inbound at Jakes Gerwel. Two lanes closed. expect long delays.,,1,1,06:37,08:37
402,2016/02/04,04:37,04:37,04:37,Update: Stationary vehicle on N2 inbound after Jan Smuts has been cleared.,,1,,06:37,06:37
403,2016/02/04,06:15,06:15,06:15,Update: Traffic lights at Main/R44 in Somerset West have been repaired.,,1,,08:15,08:15
404,2016/02/04,06:36,06:36,06:36,Update: Traffic lights at Old Paarl/Feinauer/Link in Bellville have been repaired.,,1,,08:36,08:36
405,2016/02/04,06:47,06:47,08:47,"Crash on N2 inbound at Jakes Gerwel. Left lane closed, expect delays.",,1,1,08:47,10:47
406,2016/02/04,06:48,06:48,08:48,"Stationary vehicle on N2 inbound after Jan Smuts. Left lane closed, expect delays.",,1,1,08:48,10:48
407,2016/02/04,07:40,07:40,09:40,"Planned maintenance today in Nyanga, affecting Owen Rd & surr, from 08:30 ? 16:00. Contact 0860 103 089 for more info.",,1,1,09:40,11:40
408,2016/02/04,07:49,07:49,09:49,"Planned maintenance today in Maitland, affecting Maitland Rd & surr, from 08:00 ? 16:00. Contact 0860 103 089 for more info.",,1,1,09:49,11:49
409,2016/02/04,08:06,08:06,10:06,"Planned maintenance today in Valmary Park, affecting Derby, Magnolia Rd?s & surr, from 08:00 ? 17:00. Contact 0860 103 089 for more info.",,1,1,10:06,12:06
410,2016/02/04,08:13,08:13,10:13,"Planned maintenance today in Steenberg, affecting Ravel Rd & surr, from 08:00 ? 17:30 Contact 0860 103 089 for more info.",,1,1,10:13,12:13
411,2016/02/04,10:24,10:24,12:24,Traffic lights at Main/R44 in Somerset West are out. The department is currently attending to this.,,1,1,12:24,14:24
412,2016/02/04,10:29,10:29,12:29,Traffic lights at Old Paarl/Feinauer/Link in Bellville are out. The department is currently attending to this.,,1,1,12:29,14:29
413,2016/02/04,14:08,14:08,16:08,"Crash on De Waal Drive, Outbound before Roodebloem, right lane closed, expect delays, proceed with caution.",,1,1,16:08,18:08
414,2016/02/04,14:11,14:11,14:11,"Update: Traffic lights at Amandel / Sandlewood, Kuils River have been repaired.",,1,,16:11,16:11
415,2016/02/04,14:43,14:43,16:43,"Traffic lights at Amandel / Sandlewood, Kuils River are flashing. The department is attending to the matter.",,1,1,16:43,18:43
416,2016/02/04,15:16,15:16,15:16,"Update: Ramp Closure on the N2, Outbound at Searle / Hyde has now been re-opened, free flowing traffic.",,1,,17:16,17:16
417,2016/02/04,16:09,16:09,18:09,"Ramp Closure on the N2, Outbound at Searle / Hyde Rd, Use Alt Route.",,1,1,18:09,20:09
418,2016/02/04,16:16,16:16,16:16,"Update: N2 inbound, road closure after Strand St off-ramp is cleared, free flowing traffic.",,1,,18:16,18:16
419,2016/02/05,04:46,06:00,15:00,"Planned maintenance today in Brooklyn, Brooklyn Chest Hospital, from 08:00 ? 17:00 Contact 0860 103 089 for more info.",,,,08:00,17:00
420,2016/02/05,04:47,06:30,16:00,"Planned maintenance today in Grassy Park, affecting 6th, 8th Ave?s Melkar Rd & surr, from 08:30 ? 18:00. Contact 0860 103 089 for more info.",,,,08:30,18:00
421,2016/02/05,04:47,06:00,16:00,"Planned maintenance today in Heathfield, affecting Consort Rd & surr, from 08:00 ? 16:00. Contact 0860 103 089 for more info.",,,,08:00,18:00
422,2016/02/05,04:47,06:00,16:00,"Planned maintenance today in Century City, affecting Oasis Rd & surr, from 08:00 ? 16:00. Contact 0860 103 089 for more info.",,,,08:00,18:00
423,2016/02/05,04:47,06:00,16:00,"Planned maintenance in Valmary Park, affecting De Villiers, Simonsberg Rd?s & surr, from 08:00?16:00. Contact 0860 103 089 for more info.",,,,08:00,18:00
424,2016/02/05,05:05,05:05,06:51,Truck broken down on Strand Rd before La Belle in Bellville. Left lane obstructed (Direction Kuils River),,1,,07:05,08:51
425,2016/02/05,05:06,05:06,07:06,Crash on Link from Turf Hall Rd (West bound) onto Jakes Gerwel (Direction Mitchells Plain). Left lane obstructed.,,1,1,07:06,09:06
426,2016/02/05,06:21,06:21,08:21,Update: Crash on Link from Turf Hall Rd (West bound) onto Jakes Gerwel (Direction Mitchells Plain) has been cleared.,,1,1,08:21,10:21
427,2016/02/05,06:47,06:47,06:52,Crash on Hindle Rd above R300 in Wesbank. Right lane obstructed (Direction Delft) proceed with caution.,,1,,08:47,08:52
428,2016/02/05,06:55,06:55,11:31,Traffic lights at Katdoring / Baobab in Eastridge are out. The department is attending to the matter.,,1,,08:55,13:31
429,2016/02/05,10:54,10:54,11:32,Traffic lights at Koeberg / Loxton in Milnerton are flashing. The department is attending to the matter.,,1,,12:54,13:32
430,2016/02/05,10:55,10:55,11:30,Traffic lights at Victoria / M5 in Southfield are flashing. The department is attending to the matter.,,1,,12:55,13:30
431,2016/02/05,12:33,12:33,13:31,"Traffic lights at Valhalla / Plakkies, Kalksteenfontein are flashing. The department is attending to the matter.",,1,,14:33,15:31
432,2016/02/05,13:07,13:07,13:11,"Traffic lights at Klip / Montague Gift, Lotus River all lights are out. The department is attending to the matter.",,1,,15:07,15:11
433,2016/02/05,14:40,14:40,16:40,"Crash: Victoria & Salt River Road, Salt River towards town, left lane closed, proceed with caution.",,1,1,16:40,18:40
434,2016/02/05,14:49,14:49,14:49,"Update: Crash: Victoria & Salt River Road, Salt River towards town has been cleared.",,1,,16:49,16:49
435,2016/02/05,15:21,15:21,17:47,"Crash: on Hospital Bend outbound, right lane going onto the N2 has been closed, proceed with caution.",,1,,17:21,19:47
436,2016/02/05,15:23,15:23,15:59,"Crash: on the M3 inbound before the split to the N2, right lane has been closed, proceed with caution.",,1,,17:23,17:59
437,2016/02/06,04:55,06:00,14:00,"Planned maintenance today in Salt River, SA Milling Consumer Complex, from 08:00 ? 16:00. Contact 0860 103 089 for more info.",,,,08:00,16:00
438,2016/02/06,04:55,06:00,14:00,"Planned maintenance today in Bergvliet, affecting Eksteen Ave, Fountain Rd & surr, from 08:00 ? 16:00. Contact 0860 103 089 for more info.",,,,08:00,16:00
439,2016/02/06,04:55,04:00,16:00,"Planned maintenance today in Stranf, affecting 5th St & surr, from 06:00 ? 18:00. Contact 0860 103 089 for more info.",,,,06:00,18:00
440,2016/02/06,04:55,04:00,16:00,"Planned maintenance today in Strand, affecting 5th ? 10th Ave, Fredericks Rd & surr, from 06:00 ? 18:00 Contact 0860 103 089 for more info.",,,,06:00,18:00
441,2016/02/06,06:27,06:27,08:40,"Traffic lights at Koeberg Rd / Loxton Rd, Milnerton are flashing. The debarment is attending to the matter.",,1,,08:27,10:40
442,2016/02/06,06:54,06:54,08:39,"Traffic lights at Valhalla / Plakkies, Kalksteenfontein are flashing. The department is attending to the matter.",,1,,08:54,10:39
443,2016/02/06,06:57,06:57,10:43,"Traffic lights at Ou Kaapseweg / Noordhoek, Sunvalley, all lights out. The debarment is attending to the matter.",,1,,08:57,12:43
444,2016/02/06,07:00,07:00,08:38,"Traffic lights at Voortrekker Rd / Tierberg Rd, Parow East, lights are flashing. The debarment is attending to the matter.",,1,,09:00,10:38
445,2016/02/06,07:22,07:22,07:57,"Traffic lights at Klipfontein Rd / Calendula Rd, Silvertown, all lights out. The debarment is attending to the matter.",,1,,09:22,09:57
446,2016/02/06,09:03,09:03,09:04,"Traffic lights at 1st Ave / 3rd Ave, Tafelsig are flashing. The department is attending to the matter.",,1,,11:03,11:04
447,2016/02/06,07:24,07:24,10:43,"Update: Traffic lights at Wespoort / 2nd Avenue, Westridge are flashing, Cables Stolen.",,1,,09:24,12:43
448,2016/02/06,09:36,09:36,11:36,"Road Closure on the N2 due to veld-fire, outbound at Spine Road, use alternative route and proceed with caution.",,1,1,11:36,13:36
449,2016/02/06,11:00,11:00,11:00,"Update: Road Closure on the N2 due to veld-fire, road re-opened, back of queue at Mew Way, use alternative route.",,1,,13:00,13:00
450,2016/02/08,03:52,03:52,05:52,"Protesting: on the N2 Outbound at Sir Lowry Pass Road, road closure, use alternative route and proceed with caution.",,1,1,05:52,07:52
451,2016/02/08,04:15,04:15,04:56,"Crash: at Jakes Gerwel North before Viking Way, Right lane closed, expect delays, and proceed with caution.",,1,,06:15,06:56
452,2016/02/08,04:24,04:24,06:24,"Update: protesting on the N2 Outbound at Sir Lowry Pass Road, road closure, use alternative route and proceed with caution.",,1,1,06:24,08:24
453,2016/02/08,04:28,04:28,08:24,"Traffic lights at Doncaster Rd / Punters Way, Claremont are flashing. The department is attending to the matter.",,1,,06:28,10:24
454,2016/02/08,04:30,04:30,08:24,"Traffic lights at Hanover Park Ave / Surran Rd, Hanover Park are flashing. The department is attending to the matter.",,1,,06:30,10:24
455,2016/02/08,04:52,06:30,14:00,"Planned maintenance today in Rondebosch, affecting Loch Rd & surr, from 08:30 ? 16:00. Contact 0860 103 089 for more info.",,,,08:30,16:00
456,2016/02/08,04:52,06:00,16:00,"Planned maintenance today in Century City, affecting Pringle Rd & surr, from 08:00 ? 18:00. Contact 0860 103 089 for more info.",,,,08:00,18:00
457,2016/02/08,04:52,06:00,15:00,"Planned maintenance today in Valmary Park, affecting Mill, Malan, Bond Rd?s & surr, from 08:00 ? 17:00 Contact 0860 103 089 for more info.",,,,08:00,17:00
458,2016/02/08,04:53,06:00,14:00,"Planned maintenance in Hout Bay, affecting King, Skaife Darling, Guinevere Rd & surr, from 08:00?16:00. Contact 0860 103 089 for more info.",,,,08:00,16:00
459,2016/02/08,04:55,04:55,05:39,"Traffic lights at Belhar Rd / Nooiensfontein Rd, Kuils River are flashing. The department is attending to the matter.",,1,,06:55,07:39
460,2016/02/08,05:16,05:16,09:51,"Traffic lights at Main Rd / York Rd, Green Point are flashing. The department is attending to the matter.",,1,,07:16,11:51
461,2016/02/08,06:17,06:17,08:17,"Traffic lights at Wespoort Dr / Second Ave, Westridge are flashing. The department is attending to the matter.",,1,1,08:17,10:17
462,2016/02/08,06:22,06:22,08:08,"Incident: Truck broken down on the N1 inbound at Plattekloof / Giel Basson, centre lane closed, expect delays and proceed with caution.",,1,,08:22,10:08
463,2016/02/08,07:43,07:43,11:44,"Traffic lights at Sport Way / Fairtrees, Durbanville are flashing. The department is attending to the matter.",,1,,09:43,13:44
464,2016/02/08,08:48,08:48,09:22,"Crash on the N2 Outbound after Jakes Gerwel, left lane closed, expect delays and proceed with caution.",,1,,10:48,11:22
465,2016/02/08,10:16,10:16,10:38,"Traffic lights at Old Oak Rd / Panorama Dr, Eversdal are flashing. The department is attending to the matter.",,1,,12:16,12:38
466,2016/02/08,10:31,10:31,12:31,"Stationary vehicle on the N1 Outbound before Sable, center lane closed, expect delays and proceed with caution.",,1,1,12:31,14:31
467,2016/02/08,14:16,14:16,16:16,City advises of road closures for the State of the Nation Address and rehearsals: https://t.co/pgNiJZs583 https://t.co/285uBG15SW,,1,1,16:16,18:16
468,2016/02/08,14:17,14:17,16:22,Traffic lights at Govan Mbeki / Steve Biko in Silver Town are flashing. The department is attending to the matter.,,1,,16:17,18:22
469,2016/02/08,14:24,14:24,16:24,"Crash on the N2 outbound at Browning, right lane closed, expect delays.",,1,1,16:24,18:24
470,2016/02/08,14:51,14:51,16:20,Crash on Victoria road Near Suikerbossie in Hout Bay. Victoria Rd closed towards the Harbour?alt route via main road.,,1,,16:51,18:20
471,2016/02/08,15:18,15:18,16:21,Crash on the N1 outgoing just before plattekloof Right lane obstructed. Proceed with caution.,,1,,17:18,18:21
472,2016/02/09,04:41,04:41,05:05,"Stationary vehicle on the N1 inbound before Old Oak, left lane closed. Proceed with caution.",,1,,06:41,07:05
473,2016/02/09,04:50,06:30,15:00,"Planned maintenance today in Valmary Park, Van der Byl, Lyndenber Rd?s & surr, from 08:30 ? 17:00. Contact 0860 103 089 for more info.",,,,08:30,17:00
474,2016/02/09,04:50,06:00,15:30,"Planned maintenance today in Southfield, affecting Wynsan Cres, Allen Rd & surr, from 08:00 ? 17:30. Contact 0860 103 089 for more info.",,,,08:00,17:30
475,2016/02/09,04:50,05:00,16:00,"Planned maintenance today in Macassar, affecting Macassar Switching Station, from 07:00 ? 18:00 Contact 0860 103 089 for more info.",,,,07:00,18:00
476,2016/02/09,04:51,07:00,10:00,"Planned maintenance today in Stikland, affecting Watt, La Belle Rd?s & surr, from 09:00? 12:00. Contact 0860 103 089 for more info.",,,,09:00,12:00
477,2016/02/09,04:51,06:30,14:00,"Planned maintenance today in Sunnyside, affecting Benbow Rd & surr, from 08:30 ? 16:00. Contact 0860 103 089 for more info.",,,,08:30,16:00
478,2016/02/09,04:51,06:30,14:00,"Planned maintenance today in Rondebosch, affecting Sawkins Rd & surr, from 08:30 ? 16:00. Contact 0860 103 089 for more info.",,,,08:30,16:00
479,2016/02/09,04:51,06:00,14:00,"Planned maintenance today in Duynefontein, affecting Hamerkop Rd, Charles Hoffe & surr, from 08:00?16:00. Contact 0860 103 089 for more info",,,,08:00,16:00
480,2016/02/09,04:51,06:00,14:00,"Planned maintenance today in Century City, affecting Pringle Rd & surr, from 08:00 ? 16:00. Contact 0860 103 089 for more info.",,,,08:00,16:00
481,2016/02/09,05:02,05:02,07:02,"Burst water main on Frans Conradie Dr, road closed east bound on Frans Conradie Dr, between Townsend St and Alice St.",,1,1,07:02,09:02
482,2016/02/09,07:39,07:39,09:22,Traffic lights at Main Rd / York Rd in Green Point are all out. The department is attending.,,1,,09:39,11:22
483,2016/02/09,10:48,10:48,11:22,"Protest action at Masiphumelele informal settlement, Kommetjie Rd closed between Ou Kaapse Weg and Chasmay Rd.",,1,,12:48,13:22
484,2016/02/09,12:07,12:07,14:07,Traffic lights at Strandfontein/Jan Smuts/Govan Mbeki are flashing. The department is currently attending to this.,,1,1,14:07,16:07
485,2016/02/09,12:32,12:32,14:32,Traffic lights at Century Blvd/Entrance 6 in Century City are flashing. The department is currently attending to this.,,1,,14:32,16:32
486,2016/02/09,15:09,15:09,17:09,"Stationary vehicle on the N2 outbound on De Waal Drive. Left lane closed, expect delays.",,1,1,17:09,19:09
487,2016/02/10,04:18,04:18,05:09,Traffic lights at Jip De Jager Dr / Van Riebeeckshof Rd in Bellville are flashing. The department is attending to the matter.,,1,,06:18,07:09
488,2016/02/10,04:29,04:29,05:11,Traffic lights at Govan Mbeki Rd / Japhta K Masemola Rd in Khayelitsha are flashing. The department is attending to the matter,,1,,06:29,07:11
489,2016/02/10,04:52,06:00,16:00,"Planned maintenance in Somerset West, affecting Alamein, Wilgas, Seaview Rd?s & surr, from 08:00 ? 18:00 Contact 0860 103 089 for more info.",,,,08:00,18:00
490,2016/02/10,04:53,06:00,14:00,"Planned maintenance in Constantia, affecting Klein Constantia, Husseysvlei Rd?s & surr, from 08:00?6:00. Contact 0860 103 089 for more info.",,,,08:00,16:00
491,2016/02/10,04:53,06:00,15:00,"Planned maintenance today in Valmary Park, Van der Byl, Lyndenber Rd?s & surr, from 08:00 ? 17:00. Contact 0860 103 089 for more info.",,,,08:00,17:00
492,2016/02/10,04:53,06:00,14:00,"Planned maintenance in Milnerton, affecting Royal Windsor, Royal Carlisle Rd?s & surr, from 08:00?16:00. Contact 0860 103 089 for more info.",,,,08:00,16:00
493,2016/02/10,04:54,06:30,14:00,"Planned maintenance in Nyanga, affecting Bush & Miller Rd?s, Zwelitsha Drv & surr, from 08:30 ? 16:00. Contact 0860 103 089 for more info.",,,,08:30,16:00
494,2016/02/10,04:54,06:30,14:00,"Planned maintenance today in Sunnyside, affecting Port Jackson Rd & surr, from 08:30 ? 16:00. Contact 0860 103 089 for more info.",,,,08:30,16:00
495,2016/02/10,04:54,06:30,14:00,"Planned maintenance today in Kensington, 5th Ave, 6th St & surr, from 08:30 ? 16:00. Contact 0860 103 089 for more info.",,,,08:30,16:00
496,2016/02/10,04:54,06:00,14:00,"Planned maintenance today in KTC, affecting 34 Eleni Rd & surr, from 08:00 ? 16:00. Contact 0860 103 089 for more info.",,,,08:00,16:00
497,2016/02/10,04:58,04:58,12:48,Traffic lights at Blaauwberg Rd / Popham St in Table View are flashing. The department is attending to the matter.,,1,,06:58,14:48
498,2016/02/10,05:50,05:50,06:16,Traffic lights at the M5 / Hyde Rd in Parkwood are flashing. The department is attending to the matter.,,1,,07:50,08:16
499,2016/02/10,07:27,07:27,09:27,"Protest action on Robert Sobukwe before N2 direction Manenberg, use alternative route.",,1,1,09:27,11:27
500,2016/02/10,11:56,11:56,11:56,Traffic lights at Giel Basson Dr / Nathan Mallach St in Goodwood are flashing. The department is attending to the matter.,,1,,13:56,13:56
501,2016/02/10,12:04,12:04,12:49,Traffic lights at A.J West / Voortrekker are flashing. The department is currently attending to this.,,1,,14:04,14:49
502,2016/02/10,12:23,12:23,12:23,"Update: Protest action on Robert Sobukwe before N2, direction Manenberg has been cleared.",,1,,14:23,14:23
503,2016/02/10,14:21,14:21,15:22,"Stationary vehicle on the N1 outbound before Monte Vista. Centre lane closed, expect delays.",,1,,16:21,17:22
504,2016/02/10,14:38,14:38,15:23,"Stationary vehicle on the N1 inbound at Plattekloof off-ramp. Left lane closed, expect delays.",,1,,16:38,17:23
505,2016/02/10,14:55,14:55,15:36,"Crash on the N2 inbound after Mowbray Main. Left lane closed, expect delays.",,1,,16:55,17:36
506,2016/02/11,04:14,04:14,06:14,Traffic lights at Giel Basson Dr / Frans Conradie Dr in Goodwood are flashing. The department is attending to the matter.,,1,1,06:14,08:14
507,2016/02/11,04:27,04:27,06:27,Traffic lights at Durbanville Ave / De Villiers Dr in Durbanville are flashing. The department is attending to the matter.,,1,1,06:27,08:27
508,2016/02/11,05:17,05:17,07:17,Traffic lights at Durbanville Ave / De Villiers Dr in Durbanville have been repaired.,,1,1,07:17,09:17
509,2016/02/11,05:47,05:47,07:47,Traffic lights at Giel Basson Dr / Frans Conradie Dr in Goodwood have been repaired.,,1,1,07:47,09:47
510,2016/02/11,06:47,06:47,08:47,Traffic lights at Blaauwberg Rd / Popham St in Table View are flashing. The department is attending to the matter.,,1,1,08:47,10:47
511,2016/02/11,07:33,07:33,09:33,Traffic lights at Waterloo Rd / Alphen Hill Rd in Wynberg are flashing. The department is attending to the matter.,,1,1,09:33,11:33
512,2016/02/11,07:41,07:41,07:41,Update: Traffic lights at Waterloo Rd / Alphen Hill Rd in Wynberg have been repaired.,,1,,09:41,09:41
513,2016/02/11,09:55,09:55,09:55,Update:Traffic lights at Blaauwberg Rd / Popham St in Table View have been repaired,,1,,11:55,11:55
514,2016/02/11,12:10,12:10,12:40,"Stationary vehicle on the N2 outbound before Victoria. Left lane closed, expect delays.",,1,,14:10,14:40
515,2016/02/11,13:43,13:43,14:19,"Diesel spill at the N2 inbound on De Waal Drive. Left lane closed, expect delays.",,1,,15:43,16:19
516,2016/02/11,14:04,14:04,16:04,Darling Street closed between Adderley Street & Buitenkant Street due to protest action.,,1,1,16:04,18:04
517,2016/02/11,14:17,14:17,14:34,Traffic lights at Durbanville Ave/Bella Rosa St are flashing. The department is currently attending to this.,,1,,16:17,16:34
518,2016/02/11,17:26,17:26,19:26,"Stationary vehicle on the M5 northbound at Berkley. Left lane closed, expect delays.",,1,1,19:26,21:26
519,2016/02/12,05:01,05:01,09:20,Traffic lights at Darling St / Corporation St in Cape Town City Centre are flashing. The department is attending to the matter.,,1,,07:01,11:20
520,2016/02/12,06:16,06:16,06:54,"Crash on Main Rd and Ou Kaapse Weg in Kommetjie towards Fish Hoek, left lane closed. Proceed with caution.",,1,,08:16,08:54
521,2016/02/12,06:22,06:22,07:29,Traffic lights at N2 / Sir Lowry's Pass in Helderberg are flashing. The department is attending to the matter.,,1,,08:22,09:29
522,2016/02/12,07:00,07:00,07:33,"Stationary vehicle on the N2 inbound at Hospital Bend, right lane closed. Proceed with caution.",,1,,09:00,09:33
523,2016/02/12,09:44,09:44,10:23,"Crash on the N1 inbound before R300, one lane closed. Expect delays in both inbound and outbound directions.",,1,,11:44,12:23
524,2016/02/12,09:59,09:59,11:26,Traffic lights at Japhta K Masemola Road / Maphongwana Ave in Ikwezi Park are flashing. The department is attending to the matter.,,1,,11:59,13:26
525,2016/02/12,10:04,10:04,13:48,Traffic lights at Ou Kaapse Weg / Noordhoek Main Rd in Sun Valley are flashing. The department is attending to the matter.,,1,,12:04,15:48
526,2016/02/12,10:19,10:19,10:57,"Stationary vehicle on the N2 inbound at Liesbeeck, centre lane closed. Proceed with caution.",,1,,12:19,12:57
527,2016/02/12,12:26,12:26,13:16,Traffic lights at New Nooiensfontein Dr/Highbury Rd in Kuils River are flashing. The department is currently attending to this.,,1,,14:26,15:16
528,2016/02/12,12:28,12:28,14:35,Traffic lights at N2/Jakes Gerwel Dr are out. The department is currently attending to this.,,1,,14:28,16:35
529,2016/02/12,14:09,14:09,14:38,"Stationary vehicle on the M3 southbound at the N2 Interchange. Right lane closed, expect delays.",,1,,16:09,16:38
530,2016/02/13,06:38,06:38,08:38,Traffic lights at Oliver Tambo/Jakes Gerwel are flashing. The department is currently attending to this.,,1,1,08:38,10:38
